City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code,Date
83,athabasca,-8.4667,140.3333,84.47,70,73,10.31,ID,1615439555
84,athabasca,4.75,-55.1667,75.16,88,60,9.17,SR,1615439555
85,athabasca,-22.9661,-42.0278,74.68,87,100,6.55,BR,1615439039
86,athabasca,69.4865,88.3972,-25.06,84,98,7.56,RU,1615439131
87,athabasca,35.7333,140.8333,64.0,47,20,9.22,JP,1615439436
88,athabasca,47.6666,-52.7314,28.0,86,1,5.75,CA,1615439556
89,athabasca,-16.8392,36.9856,74.93,96,90,0.92,MZ,1615439556
90,athabasca,65.4167,-52.9,18.1,93,97,11.77,GL,1615439557
91,athabasca,-0.6,73.0833,80.71,75,94,6.87,MV,1615439024
92,athabasca,64.2539,-15.2082,37.08,76,74,10.36,IS,1615439557
93,athabasca,61.3167,7.8,33.8,69,75,13.8,NO,1615439558
94,athabasca,59.7035,30.7861,6.01,71,20,11.18,RU,1615439558
95,athabasca,-21.9833,16.9167,62.01,26,0,1.01,NA,1615439559
96,athabasca,-17.7333,-149.15,86.0,74,40,6.91,PF,1615439022
97,athabasca,57.79,-152.4072,30.2,43,1,21.85,US,1615439559
98,athabasca,-8.7676,160.7034,82.49,76,100,6.02,SB,1615439560
99,athabasca,-19.5933,-46.9406,62.73,95,99,0.27,BR,1615439560
100,athabasca,-2.65,10.0,78.57,87,96,3.89,GA,1615439560
101,athabasca,35.1333,140.3,62.01,35,20,9.22,JP,1615439561
102,athabasca,19.3833,74.65,88.47,16,7,2.08,IN,1615439561
103,athabasca,14.8961,-24.4956,68.52,75,100,12.8,CV,1615439100
104,athabasca,22.0752,-159.319,72.0,94,90,8.05,US,1615439556
105,athabasca,22.6783,-3.9836,63.55,45,0,18.28,ML,1615439417
106,athabasca,68.75,161.3,-0.44,85,98,17.2,RU,1615439060
107,athabasca,3.0707,172.7902,81.77,76,57,9.37,KI,1615439563
108,athabasca,12.2167,99.75,91.0,66,20,8.05,TH,1615439285
109,athabasca,4.4133,32.5678,81.84,37,12,2.77,SS,1615439563
110,athabasca,-37.6167,-73.65,55.4,87,1,4.09,CL,1615439025
111,athabasca,-8.9266,125.4092,69.3,100,78,0.65,TL,1615439564
112,athabasca,-24.8667,113.6333,84.2,65,1,13.8,AU,1615439468
113,athabasca,52.3668,-114.9188,21.2,58,70,3.44,CA,1615439564
114,athabasca,-20.3428,57.7575,82.99,74,40,12.66,MU,1615439164
115,athabasca,21.4612,-71.1419,75.2,73,75,14.97,TC,1615439286
116,athabasca,-16.6228,-72.7111,72.01,82,14,5.91,PE,1615439565
117,athabasca,-0.3582,42.5454,79.92,77,26,14.61,SO,1615439565
118,athabasca,0.0389,-51.0664,75.2,94,0,5.99,BR,1615439405
119,athabasca,25.2088,64.6357,73.47,74,0,1.41,PK,1615439566
120,athabasca,2.1833,22.4667,73.38,84,71,3.42,CD,1615439566
121,athabasca,26.5881,127.9761,78.8,53,20,11.5,JP,1615439567
122,athabasca,35.5333,134.8333,59.0,26,0,2.3,JP,1615439567
123,athabasca,-38.2667,141.9667,69.69,60,10,11.45,AU,1615439568
124,athabasca,68.2191,-135.0107,14.0,85,100,5.75,CA,1615439568
125,athabasca,29.3167,76.3167,89.26,15,0,6.46,IN,1615439569
126,athabasca,-46.6,168.3333,57.99,62,10,7.0,NZ,1615439569
127,athabasca,12.9983,8.9099,72.77,19,45,6.71,NE,1615439128
128,athabasca,59.1167,159.9667,21.34,99,98,4.52,RU,1615439570
129,athabasca,38.421,-121.4238,44.01,81,75,4.61,US,1615439321
130,athabasca,42.7342,-90.4785,57.2,82,40,20.71,US,1615439571
131,athabasca,-4.085,-63.1414,71.26,97,100,0.96,BR,1615439571
132,athabasca,13.2167,-59.5167,77.0,65,40,17.27,BB,1615438873
133,athabasca,-13.7,-76.2167,73.4,83,0,3.44,PE,1615439029
